cedula,nombre_completo,telefono,fecha_registro,estado
1234567890,Juan Pérez González,0999999999,2024-01-15,ACTIVO
0987654321,Ana Gómez Rodríguez,0988888888,2024-01-20,ACTIVO
1122334455,Carlos López Martínez,0977777777,2024-02-01,ACTIVO
5566778899,María Fernández Silva,0966666666,2024-02-10,ACTIVO
2233445566,Pedro Ramírez Torres,0955555555,2024-02-15,ACTIVO
3344556677,Lucía Morales Vega,0944444444,2024-03-01,ACTIVO
4455667788,Roberto Jiménez Ruiz,0933333333,2024-03-05,ACTIVO
5566778890,Sofía Castro Mendoza,0922222222,2024-03-10,ACTIVO
6677889900,Diego Herrera Luna,0911111111,2024-03-15,ACTIVO
7788990011,Carmen Vargas Paredes,0900000000,2024-03-20,ACTIVO
8899001122,Andrés Torres Ríos,0899999999,2024-04-01,ACTIVO
9900112233,Patricia Mendoza Flores,0888888888,2024-04-05,ACTIVO
0011223344,Ricardo Luna Castro,0877777777,2024-04-10,ACTIVO
1122334456,Isabel Ríos Vargas,0866666666,2024-04-15,ACTIVO
2233445567,Fernando Flores Torres,0855555555,2024-04-20,ACTIVO
3344556678,Valentina Paredes Herrera,0844444444,2024-05-01,ACTIVO
4455666679,Gabriel Ruiz Jiménez,0833333333,2024-05-05,ACTIVO
5566776680,Daniela Vega Morales,0822222222,2024-05-10,ACTIVO
6677886691,Martín Silva Fernández,0811111111,2024-05-15,ACTIVO
7788996602,Natalia Martínez López,0800000000,2024-05-20,ACTIVO
8899006613,Adrián Rodríguez Gómez,0799999999,2024-06-01,ACTIVO
9900116624,Carolina González Pérez,0788888888,2024-06-05,ACTIVO 
